user	101		{"age":24,"gender":"M","occupation":"technician","zipCode":"85711"}	
user	102		{"age":53,"gender":"F","occupation":"other","zipCode":"94043"}	
user	103		{"age":23,"gender":"M","occupation":"writer","zipCode":"32067"}	
user	104		{"age":24,"gender":"M","occupation":"technician","zipCode":"43537"}	
user	105		{"age":33,"gender":"F","occupation":"other","zipCode":"15213"}	
user	106		{"age":42,"gender":"M","occupation":"executive","zipCode":"98101"}	
user	107		{"age":57,"gender":"M","occupation":"administrator","zipCode":"91344"}	
user	108		{"age":36,"gender":"M","occupation":"administrator","zipCode":"05201"}	
user	109		{"age":29,"gender":"M","occupation":"student","zipCode":"01002"}	
user	1010		{"age":53,"gender":"M","occupation":"lawyer","zipCode":"90703"}	
user	1011		{"age":39,"gender":"F","occupation":"other","zipCode":"30329"}	
user	1012		{"age":28,"gender":"F","occupation":"other","zipCode":"06405"}	
user	1013		{"age":47,"gender":"M","occupation":"educator","zipCode":"29206"}	
user	1014		{"age":45,"gender":"M","occupation":"scientist","zipCode":"55106"}	
user	1015		{"age":49,"gender":"F","occupation":"educator","zipCode":"97301"}	
user	1016		{"age":21,"gender":"M","occupation":"entertainment","zipCode":"10309"}	
user	1017		{"age":30,"gender":"M","occupation":"programmer","zipCode":"06355"}	
user	1018		{"age":35,"gender":"F","occupation":"other","zipCode":"37212"}	
user	1019		{"age":40,"gender":"M","occupation":"librarian","zipCode":"02138"}	
user	1020		{"age":42,"gender":"F","occupation":"homemaker","zipCode":"95660"}	
user	1021		{"age":26,"gender":"M","occupation":"writer","zipCode":"30068"}	
user	1022		{"age":25,"gender":"M","occupation":"writer","zipCode":"40206"}	
user	1023		{"age":30,"gender":"F","occupation":"artist","zipCode":"48197"}	
user	1024		{"age":21,"gender":"F","occupation":"artist","zipCode":"94533"}	
user	1025		{"age":39,"gender":"M","occupation":"engineer","zipCode":"55107"}	
user	1026		{"age":49,"gender":"M","occupation":"engineer","zipCode":"21044"}	
user	1027		{"age":40,"gender":"F","occupation":"librarian","zipCode":"30030"}	
user	1028		{"age":32,"gender":"M","occupation":"writer","zipCode":"55369"}	
user	1029		{"age":41,"gender":"M","occupation":"programmer","zipCode":"94043"}	
user	1030		{"age":7,"gender":"M","occupation":"student","zipCode":"55436"}	
user	1031		{"age":24,"gender":"M","occupation":"artist","zipCode":"10003"}	
user	1032		{"age":28,"gender":"F","occupation":"student","zipCode":"78741"}	
